,user_id,asin,overall
0,A3TLFFGO88RXWZ,B00007GDFV,5.0
1,AAQO19HKS86MQ,B00008JOQI,5.0
2,AYO765T1ZJI44,B0002Z1JNK,5.0
3,A337NHSPPD1DVM,B0002Z1JNK,5.0
4,A1Y7J3L1EY1MTR,B00066G516,5.0
5,A2XH6A48CXKSNI,B00066G516,5.0
6,AHAINV8V9AE33,B0006HB4XE,5.0
7,A3FOL5CECUQJKV,B0006HB4XE,5.0
8,AQG16QCMT344N,B0007MV6PO,5.0
9,A333P4ZQ6VJESC,B0007MV6PO,5.0
10,A3FXA1KC8100C6,B00080L00Q,1.0
11,A2R0KB6P9AWB3N,B0008F6WMM,5.0
12,A1VB8MXR5BES1P,B0008F6WMM,5.0
13,A1KPFFU7NOVNCY,B0009A1EA6,1.0
14,A2K87NNS3ZTQE0,B0009A1EA6,5.0
15,ANTWLVOKZFISX,B0009F7SD8,5.0
16,A33K8EOQH55J62,B000A5OVGE,5.0
17,A1MZRK74GH9ZN6,B000AO7PY0,5.0
18,A152P1HMXZ3STO,B000AO7PY0,5.0
19,A2ELQSSBI7KHGQ,B000AO7PY0,5.0
20,A2Y1V6HBUCGK23,B000AO7PY0,5.0
21,AZF7B04P2JB8N,B000AO7PY0,5.0
22,AI6ZZMHUA933D,B000AO7PY0,5.0
23,AI6ZZMHUA933D,B000AO7PY0,1.0
24,A2EYE86FIXQD9E,B000AO7PY0,1.0
25,A35DLVNGA4WPBO,B000AO7PY0,5.0
26,A2ZSX6R0TL8ET6,B000AO7PY0,5.0
27,A2647B95D52N17,B000AUG4LO,1.0
28,AJGH9BZ19PUI2,B000BD7SGK,5.0
29,AWBGHDHH7E51F,B000BD7SGK,1.0
30,A1UJS7WKQNNEPS,B000EE1NNA,5.0
31,A1D3O4L9AB1WGY,B000EE1NNA,1.0
32,A2TU18N1IEG0OF,B000EE1NNA,5.0
33,AAC2BU2V9X95K,B000EE1NNA,5.0
34,A1QPKAPQSAD80J,B000EE1NNA,5.0
35,A1827X2X3O09EI,B000EE1NNA,5.0
36,AKZF3IGWDXSO8,B000EE1NNA,5.0
37,A5D1PYM9J04Z,B000EE1NNA,1.0
38,A1SOK8839DJENL,B000EE1NNA,1.0
39,A17EOTC7REOQKA,B000EE1NNA,1.0
40,A11RHB4M38LGBE,B000EE1NNA,1.0
41,A16TZRHTLDUBU4,B000ER9V68,5.0
42,A3MA4MRFUHS5P7,B000ER9V68,1.0
43,A2A133Y3SWMAGR,B000ER9V68,5.0
44,AS4U0HUU72NI1,B000ER9V68,5.0
45,A2NE9HWL6SM3KC,B000ER9V68,5.0
46,A2ACIIG70P29L3,B000ER9V68,5.0
47,A1DU6H3WIN1G0T,B000ER9V68,1.0
48,A1FY4RR0LGCJ0Q,B000ER9V68,5.0
49,A3PWVFNNC7SJA,B000ER9V68,5.0
50,A2EWF2OWK60DJW,B000EVEAS8,5.0
51,A1ZAOECPQOSY6U,B000FSIFC2,5.0
52,AI8B0Z345O9N6,B000G01UBW,1.0
53,A2AMECW94GJY1,B000GHMRLW,1.0
54,A2ZN3Z5U9TV4C,B000GHMRLW,5.0
55,A33ZQAI5SUB533,B000GHMRLW,5.0
56,A23U3I8QBSFPD0,B000GHMRLW,5.0
57,A2MX67V2AIVKQJ,B000GHMRLW,5.0
58,A8UUJ28GTWKM,B000GHMRLW,5.0
59,A287IG1JJBF0QA,B000GHMRLW,5.0
60,ALPR1YL84B04D,B000GHMRLW,5.0
61,A1CT1N98MMFUVN,B000GHMRLW,1.0
62,A83MU6BZJYU0F,B000GHMRLW,5.0
63,AA6GGUF4C86FN,B000GHMRLW,5.0
64,A1R4TKO61USEOS,B000GHMRLW,5.0
65,A197CLD0RJRCIL,B000GHMRLW,5.0
66,AJ0JK1OW7RS5H,B000GHMRLW,5.0
67,A34SGUY6AK5SB1,B000GHMRLW,5.0
68,A2XFX199IEG6VT,B000GHMRLW,5.0
69,A2N7SARK4M4JWJ,B000GHMRLW,5.0
70,AITT9O1TQDT5L,B000GHMRLW,5.0
71,A35I6V5DNKJ86G,B000GHMRLW,1.0
72,A1YQ5E72DJSZHJ,B000GHMRLW,5.0
73,A37C5HK5BEVX8S,B000GHMRLW,5.0
74,A35005P9TLM9LN,B000GHMRLW,5.0
75,A1LVX62837JZB3,B000GHMRLW,5.0
76,A2AMECW94GJY1,B000GHRZN2,1.0
77,A2ZN3Z5U9TV4C,B000GHRZN2,5.0
78,A33ZQAI5SUB533,B000GHRZN2,5.0
79,A23U3I8QBSFPD0,B000GHRZN2,5.0
80,A2MX67V2AIVKQJ,B000GHRZN2,5.0
81,A8UUJ28GTWKM,B000GHRZN2,5.0
82,A287IG1JJBF0QA,B000GHRZN2,5.0
83,ALPR1YL84B04D,B000GHRZN2,5.0
84,A1CT1N98MMFUVN,B000GHRZN2,1.0
85,A83MU6BZJYU0F,B000GHRZN2,5.0
86,AA6GGUF4C86FN,B000GHRZN2,5.0
