asin_id,user_id,date
49940,6108,2021-06-10
25444,3200,2021-06-18
9455,1395,2021-06-17
24411,2150,2021-06-17
72539,489,2021-06-14
62624,2765,2021-06-12
38541,5183,2021-06-11
87752,5414,2021-06-13
80986,9389,2021-06-14
52412,4625,2021-06-15
43855,2074,2021-06-16
85724,7981,2021-06-17
28449,9170,2021-06-17
84799,2029,2021-06-12
75743,8829,2021-06-20
25544,7188,2021-06-12
3869,1473,2021-06-18
25429,6460,2021-06-16
44894,8166,2021-06-14
42826,1507,2021-06-14
76101,1904,2021-06-11
51118,4712,2021-06-14
72650,8512,2021-06-17
57103,6001,2021-06-12
68180,4744,2021-06-14
5597,3431,2021-06-10
44824,854,2021-06-18
46073,8672,2021-06-14
12656,7047,2021-06-11
54698,902,2021-06-17
11031,2457,2021-06-11
74597,4157,2021-06-18
5840,7746,2021-06-10
1559,8615,2021-06-14
17076,4195,2021-06-10
72443,1495,2021-06-19
57058,8128,2021-06-10
36936,4054,2021-06-14
25230,1804,2021-06-11
42817,7526,2021-06-12
78476,3708,2021-06-17
72374,9604,2021-06-10
16513,3574,2021-06-13
27825,270,2021-06-20
19985,9987,2021-06-16
26378,6939,2021-06-12
76697,1441,2021-06-11
46251,9637,2021-06-16
71001,2033,2021-06-11
17898,9960,2021-06-16
27967,1411,2021-06-15
46446,3779,2021-06-20
44932,9754,2021-06-17
30062,8247,2021-06-15
22300,9869,2021-06-16
76181,4275,2021-06-17
19504,3843,2021-06-12
67517,3066,2021-06-14
81998,6649,2021-06-17
41144,7455,2021-06-18
79036,3063,2021-06-20
75983,7512,2021-06-20
19563,7438,2021-06-10
8076,4880,2021-06-18
89599,1745,2021-06-13
7518,6348,2021-06-19
46328,5812,2021-06-13
89898,2961,2021-06-10
11735,2179,2021-06-13
63950,3348,2021-06-15
83307,2773,2021-06-10
75839,2741,2021-06-16
74096,1394,2021-06-17
18966,6828,2021-06-14
11281,6438,2021-06-19
8802,5974,2021-06-20
73105,193,2021-06-19
40180,8526,2021-06-17
3791,5554,2021-06-10
4118,4567,2021-06-15
32434,5177,2021-06-20
83465,2267,2021-06-13
32672,5258,2021-06-13
76336,4361,2021-06-18
7805,7016,2021-06-17
85311,4647,2021-06-17
42097,7479,2021-06-11
43056,9695,2021-06-11
11367,4824,2021-06-20
86894,1723,2021-06-12
73346,8919,2021-06-15
39308,5328,2021-06-11
75199,4466,2021-06-10
18842,4770,2021-06-18
64117,4640,2021-06-20
42248,179,2021-06-12
2120,951,2021-06-13
51240,2561,2021-06-15
89751,3773,2021-06-12
54322,306,2021-06-10
56726,2309,2021-06-13
16985,4937,2021-06-18
60557,8631,2021-06-12
82357,3019,2021-06-18
84980,531,2021-06-14
55741,7786,2021-06-12
62050,1277,2021-06-11
55720,4640,2021-06-10
73943,5509,2021-06-17
15655,7528,2021-06-19
9553,8307,2021-06-16
53774,9854,2021-06-14
47098,2370,2021-06-10
85734,1378,2021-06-20
67305,7771,2021-06-15
1857,2792,2021-06-17
6529,2707,2021-06-20
81700,7796,2021-06-17
47764,6227,2021-06-14
9261,7702,2021-06-12
19553,4461,2021-06-17
55462,2553,2021-06-10
82382,9646,2021-06-20
37020,5116,2021-06-10
66930,3458,2021-06-15
80094,1922,2021-06-20
58200,5739,2021-06-19
58658,1590,2021-06-10
10170,6495,2021-06-12
5855,166,2021-06-11
53823,7417,2021-06-18
38576,6218,2021-06-19
69260,3763,2021-06-20
79796,7483,2021-06-11
35898,8099,2021-06-18
87908,7468,2021-06-10
29474,5164,2021-06-12
18156,6455,2021-06-10
76073,9567,2021-06-13
34393,2133,2021-06-14
29986,330,2021-06-13
57389,50,2021-06-13
18921,7672,2021-06-12
46202,7343,2021-06-17
78086,1481,2021-06-17
16567,2092,2021-06-18
12791,6633,2021-06-16
27056,8492,2021-06-19
22211,9660,2021-06-13
14693,2804,2021-06-20
27041,6640,2021-06-14
30495,1521,2021-06-18
43134,7563,2021-06-13
21301,2498,2021-06-11
53947,1654,2021-06-16
36468,7311,2021-06-18
25781,569,2021-06-10
19047,5877,2021-06-16
18709,8537,2021-06-18
45780,2063,2021-06-17
85796,5215,2021-06-18
84963,7403,2021-06-12
27597,2554,2021-06-17
48957,7453,2021-06-18
63007,3709,2021-06-12
14540,8278,2021-06-10
20865,2707,2021-06-10
47886,8536,2021-06-17
7507,2672,2021-06-12
2999,3787,2021-06-11
35235,6719,2021-06-14
64596,3777,2021-06-12
70523,3456,2021-06-15
43028,457,2021-06-15
54636,5593,2021-06-11
29851,1516,2021-06-10
46792,89,2021-06-19
31765,1096,2021-06-16
70163,6223,2021-06-10
82080,1642,2021-06-20
76466,2646,2021-06-12
76171,4424,2021-06-14
88310,6615,2021-06-16
86953,3870,2021-06-16
15939,1203,2021-06-13
89861,1851,2021-06-14
70661,6050,2021-06-19
89489,2613,2021-06-18
26995,4581,2021-06-14
2340,2819,2021-06-15
78227,7301,2021-06-14
1083,3367,2021-06-18
49316,1235,2021-06-10
26988,7206,2021-06-20
77331,7822,2021-06-14
