asin_id,user_id,date
3454,8867,2021-06-18
35008,5444,2021-06-11
23058,3591,2021-06-15
13791,6288,2021-06-16
56629,1199,2021-06-02
9746,44,2021-06-14
43314,6328,2021-06-04
69100,3545,2021-06-08
67933,4990,2021-06-04
61509,2510,2021-06-19
84482,3793,2021-06-11
46750,5045,2021-06-10
66400,702,2021-06-19
45553,398,2021-06-17
35366,3265,2021-06-20
53525,984,2021-06-10
47915,9751,2021-06-13
25996,6568,2021-06-06
84108,3553,2021-06-09
45804,5139,2021-06-10
59789,7553,2021-06-12
79097,882,2021-06-19
38691,5477,2021-06-09
33284,4682,2021-06-19
23186,3478,2021-06-02
77988,2541,2021-06-04
48084,1325,2021-06-17
61764,528,2021-06-05
5717,3814,2021-06-06
66349,3694,2021-06-04
15162,7463,2021-06-06
39741,6670,2021-06-06
72444,1489,2021-06-05
40417,6945,2021-06-18
70604,9334,2021-06-15
45171,1468,2021-06-01
88340,2905,2021-06-08
10348,22,2021-06-03
15209,4329,2021-06-02
87755,5478,2021-06-07
86960,9277,2021-06-14
60724,8655,2021-06-02
42994,6668,2021-06-05
28185,8037,2021-06-15
39351,8061,2021-06-11
76171,9270,2021-06-02
50731,5375,2021-06-05
83404,4458,2021-06-02
24063,2158,2021-06-01
49621,4856,2021-06-12
62503,5931,2021-06-19
32585,7332,2021-06-19
32484,2117,2021-06-09
8400,4867,2021-06-05
77536,1323,2021-06-14
54078,372,2021-06-02
28962,9666,2021-06-01
47969,8714,2021-06-04
26446,4002,2021-06-05
12661,1278,2021-06-13
86340,2785,2021-06-10
41881,7665,2021-06-04
19118,7997,2021-06-18
34269,2489,2021-06-16
30244,1748,2021-06-08
7323,7805,2021-06-14
15597,3266,2021-06-05
29869,5360,2021-06-11
78757,27,2021-06-03
68089,2722,2021-06-01
43302,772,2021-06-20
68693,3733,2021-06-05
62419,9504,2021-06-19
82516,2589,2021-06-16
42004,8189,2021-06-08
40351,9544,2021-06-05
60999,8589,2021-06-01
89840,1582,2021-06-12
43034,7065,2021-06-20
25273,954,2021-06-06
41036,5329,2021-06-03
74668,5696,2021-06-06
53409,7683,2021-06-16
86039,1098,2021-06-11
51569,7624,2021-06-17
68808,4884,2021-06-18
70792,5810,2021-06-04
39342,3335,2021-06-08
14974,1860,2021-06-01
3558,6040,2021-06-02
22881,8923,2021-06-15
17877,7971,2021-06-02
60815,2576,2021-06-17
12556,8623,2021-06-06
59476,8096,2021-06-02
1523,7685,2021-06-02
62046,475,2021-06-01
17617,2251,2021-06-14
66681,4060,2021-06-13
68594,2014,2021-06-15
53053,2126,2021-06-16
31917,6211,2021-06-18
77413,1996,2021-06-09
21706,2153,2021-06-19
51627,9009,2021-06-04
20003,6981,2021-06-01
33851,9652,2021-06-09
70798,6831,2021-06-11
11952,511,2021-06-18
232,2076,2021-06-13
19410,9577,2021-06-01
84553,2046,2021-06-09
4283,3692,2021-06-05
89817,3558,2021-06-08
50099,1733,2021-06-19
5936,868,2021-06-17
74779,1628,2021-06-02
88839,7703,2021-06-20
52857,4814,2021-06-12
4472,1546,2021-06-14
77207,5712,2021-06-01
82469,910,2021-06-05
51487,7019,2021-06-14
61032,5383,2021-06-10
27490,1136,2021-06-20
89806,347,2021-06-17
458,7272,2021-06-08
40160,2127,2021-06-05
11027,4527,2021-06-16
21937,5166,2021-06-01
12509,3277,2021-06-09
30072,8145,2021-06-10
